Tópico, Tipo de Mensagem
/amcl_pose, geometry_msgs/PoseWithCovarianceStamped
/camera/camera_info, sensor_msgs/CameraInfo
/camera/image_raw, sensor_msgs/Image
/camera/image_raw/compressed, sensor_msgs/CompressedImage
/camera/image_raw/compressed/parameter_descriptions, dynamic_reconfigure/ConfigDescription
/camera/image_raw/compressed/parameter_updates, dynamic_reconfigure/Config
/camera/image_raw/compressedDepth, sensor_msgs/CompressedImage
/camera/image_raw/compressedDepth/parameter_descriptions, dynamic_reconfigure/ConfigDescription
/camera/image_raw/compressedDepth/parameter_updates, dynamic_reconfigure/Config
/camera/image_raw/theora, theora_image_transport/Packet
/camera/image_raw/theora/parameter_descriptions, dynamic_reconfigure/ConfigDescription
/camera/image_raw/theora/parameter_updates, dynamic_reconfigure/Config
/camera/parameter_descriptions, dynamic_reconfigure/ConfigDescription
/camera/parameter_updates, dynamic_reconfigure/Config
/camera/realsense/color/camera_info, sensor_msgs/CameraInfo
/camera/realsense/color/image_raw, sensor_msgs/Image
/camera/realsense/color/image_raw/compressed, sensor_msgs/CompressedImage
/camera/realsense/color/image_raw/compressed/parameter_descriptions, dynamic_reconfigure/ConfigDescription
/camera/realsense/color/image_raw/compressed/parameter_updates, dynamic_reconfigure/Config
/camera/realsense/color/image_raw/compressedDepth, sensor_msgs/CompressedImage
/camera/realsense/color/image_raw/compressedDepth/parameter_descriptions, dynamic_reconfigure/ConfigDescription
/camera/realsense/color/image_raw/compressedDepth/parameter_updates, dynamic_reconfigure/Config
/camera/realsense/color/image_raw/theora, theora_image_transport/Packet
/camera/realsense/color/image_raw/theora/parameter_descriptions, dynamic_reconfigure/ConfigDescription
/camera/realsense/color/image_raw/theora/parameter_updates, dynamic_reconfigure/Config
/camera/realsense/depth/camera_info, sensor_msgs/CameraInfo
/camera/realsense/depth/color/points, sensor_msgs/PointCloud2
/camera/realsense/depth/image_rect_raw, sensor_msgs/Image
/camera/realsense/parameter_descriptions, dynamic_reconfigure/ConfigDescription
/camera/realsense/parameter_updates, dynamic_reconfigure/Config
/clicked_point, geometry_msgs/PointStamped
/clock, rosgraph_msgs/Clock
/cmd_vel, geometry_msgs/Twist
/diagnostics, diagnostic_msgs/DiagnosticArray
/e_stop, std_msgs/Bool
/gazebo/link_states, gazebo_msgs/LinkStates
/gazebo/model_states, gazebo_msgs/ModelStates
/gazebo/parameter_descriptions, dynamic_reconfigure/ConfigDescription
/gazebo/parameter_updates, dynamic_reconfigure/Config
/gazebo/performance_metrics, gazebo_msgs/PerformanceMetrics
/gazebo/set_link_state, gazebo_msgs/LinkState
/gazebo/set_model_state, gazebo_msgs/ModelState
/husky_velocity_controller/cmd_vel, geometry_msgs/Twist
/husky_velocity_controller/odom, nav_msgs/Odometry
/husky_velocity_controller/parameter_descriptions, dynamic_reconfigure/ConfigDescription
/husky_velocity_controller/parameter_updates, dynamic_reconfigure/Config
/imu/data, sensor_msgs/Imu
/imu/data/accel/parameter_descriptions, dynamic_reconfigure/ConfigDescription
/imu/data/accel/parameter_updates, dynamic_reconfigure/Config
/imu/data/bias, sensor_msgs/Imu
/imu/data/rate/parameter_descriptions, dynamic_reconfigure/ConfigDescription
/imu/data/rate/parameter_updates, dynamic_reconfigure/Config
/imu/data/yaw/parameter_descriptions, dynamic_reconfigure/ConfigDescription
/imu/data/yaw/parameter_updates, dynamic_reconfigure/Config
/initialpose, geometry_msgs/PoseWithCovarianceStamped
/joint_states, sensor_msgs/JointState
/joy_teleop/cmd_vel, geometry_msgs/Twist
/joy_teleop/joy, sensor_msgs/Joy
/joy_teleop/joy/set_feedback, sensor_msgs/JoyFeedbackArray
/lidar/particle_cloud, sensor_msgs/PointCloud2
/map, nav_msgs/OccupancyGrid
/map_metadata, nav_msgs/MapMetaData
/map_updates, map_msgs/OccupancyGridUpdate
/move_base/DWAPlannerROS/cost_cloud, sensor_msgs/PointCloud2
/move_base/DWAPlannerROS/global_plan, nav_msgs/Path
/move_base/DWAPlannerROS/local_plan, nav_msgs/Path
/move_base/DWAPlannerROS/parameter_descriptions, dynamic_reconfigure/ConfigDescription
/move_base/DWAPlannerROS/parameter_updates, dynamic_reconfigure/Config
/move_base/DWAPlannerROS/trajectory_cloud, sensor_msgs/PointCloud2
/move_base/GraphPlanner/expand, nav_msgs/OccupancyGrid
/move_base/GraphPlanner/plan, nav_msgs/Path
/move_base/cancel, actionlib_msgs/GoalID
/move_base/current_goal, geometry_msgs/PoseStamped
/move_base/feedback, move_base_msgs/MoveBaseActionFeedback
/move_base/global_costmap/costmap, nav_msgs/OccupancyGrid
/move_base/global_costmap/costmap_updates, map_msgs/OccupancyGridUpdate
/move_base/global_costmap/footprint, geometry_msgs/PolygonStamped
/move_base/global_costmap/inflation/parameter_descriptions, dynamic_reconfigure/ConfigDescription
/move_base/global_costmap/inflation/parameter_updates, dynamic_reconfigure/Config
/move_base/global_costmap/parameter_descriptions, dynamic_reconfigure/ConfigDescription
/move_base/global_costmap/parameter_updates, dynamic_reconfigure/Config
/move_base/global_costmap/static/parameter_descriptions, dynamic_reconfigure/ConfigDescription
/move_base/global_costmap/static/parameter_updates, dynamic_reconfigure/Config
/move_base/goal, move_base_msgs/MoveBaseActionGoal
/move_base/local_costmap/costmap, nav_msgs/OccupancyGrid
/move_base/local_costmap/costmap_updates, map_msgs/OccupancyGridUpdate
/move_base/local_costmap/footprint, geometry_msgs/PolygonStamped
/move_base/local_costmap/inflation/parameter_descriptions, dynamic_reconfigure/ConfigDescription
/move_base/local_costmap/inflation/parameter_updates, dynamic_reconfigure/Config
/move_base/local_costmap/obstacles_laser/parameter_descriptions, dynamic_reconfigure/ConfigDescription
/move_base/local_costmap/obstacles_laser/parameter_updates, dynamic_reconfigure/Config
/move_base/local_costmap/parameter_descriptions, dynamic_reconfigure/ConfigDescription
/move_base/local_costmap/parameter_updates, dynamic_reconfigure/Config
/move_base/parameter_descriptions, dynamic_reconfigure/ConfigDescription
/move_base/parameter_updates, dynamic_reconfigure/Config
/move_base/recovery_status, move_base_msgs/RecoveryStatus
/move_base/result, move_base_msgs/MoveBaseActionResult
/move_base/status, actionlib_msgs/GoalStatusArray
/move_base_simple/goal, geometry_msgs/PoseStamped
/navsat/fix, sensor_msgs/NavSatFix
/navsat/fix/position/parameter_descriptions, dynamic_reconfigure/ConfigDescription
/navsat/fix/position/parameter_updates, dynamic_reconfigure/Config
/navsat/fix/status/parameter_descriptions, dynamic_reconfigure/ConfigDescription
/navsat/fix/status/parameter_updates, dynamic_reconfigure/Config
/navsat/fix/velocity/parameter_descriptions, dynamic_reconfigure/ConfigDescription
/navsat/fix/velocity/parameter_updates, dynamic_reconfigure/Config
/navsat/vel, geometry_msgs/Vector3Stamped
/odom, nav_msgs/Odometry
/odometry/filtered, nav_msgs/Odometry
/particlecloud, geometry_msgs/PoseArray
/rosout, rosgraph_msgs/Log
/rosout_agg, rosgraph_msgs/Log
/scan, sensor_msgs/LaserScan
/set_pose, geometry_msgs/PoseWithCovarianceStamped
/slam_gmapping/entropy, std_msgs/Float64
/tf, tf2_msgs/TFMessage
/tf_static, tf2_msgs/TFMessage
/twist_marker_server/cmd_vel, geometry_msgs/Twist
/twist_marker_server/feedback, visualization_msgs/InteractiveMarkerFeedback
/twist_marker_server/update, visualization_msgs/InteractiveMarkerUpdate
/twist_marker_server/update_full, visualization_msgs/InteractiveMarkerInit
